"","title","published_date","publication_location","publication_4","publication_type_5","length","section","word_count","countries","byline","agg_copyright","cite","company","headline","hlead","publication_16","publication_type_17","pub_copyright","show","term","ticker"
"33","Cherry-picked data doesn't tell whole story on juvenile crime","November 5, 2024 Tuesday","Maryland","The Baltimore Sun","News","947","MAIN;A;Pg. 13","947",NA,NA,NA,"SENTENCING PROJECT","SENTENCING PROJECT","Cherry-picked data doesn't tell whole story on juvenile crime","Cherry-picked data doesn't tell whole story on juvenile crime Recently, the Sentencing Project, a nonprofit that advocates for reduced imprisonment and criminalization of youth and adults, issued a report that suggested that youth offenses are declining based on data showing that arrests in Baltimore City of juveniles have been on the decline since 2022. In an attempt to discredit the concerns I have expressed about youth offenders in our city, the report identifies me directly:","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"34","Student Mobility and Violent Crime Exposure at Baltimore City Public Elementary Schools (Updated January 3, 2024)","January 11, 2024 Thursday","Georgia","NewsRx Science Daily","News","216","SOCIAL SCIENCES","216",NA,NA,NA,NA,NA,"Student Mobility and Violent Crime Exposure at Baltimore City Public Elementary Schools (Updated January 3, 2024)","Student Mobility and Violent Crime Exposure at Baltimore City Public Elementary Schools (Updated January 3, 2024) 2024 JAN 11 ( NewsRx ) -- By a News Reporter-Staff News Editor at NewsRx Science Daily -- According to news reporting based on a preprint abstract, our journalists obtained the following quote sourced from osf.io:","NewsRx Science Daily","Newsletter",NA,NA,NA,NA
"35","Woman dead, child injured in North Baltimore triple-shooting","January 24, 2025 Friday","Maryland","The Baltimore Sun","News","446","MAIN;A;Pg. 3","446",NA,"Racquel Bazos and Todd Karpovich",NA,NA,NA,"Woman dead, child injured in North Baltimore triple-shooting","Woman dead, child injured in North Baltimore triple-shooting Baltimore City Police officers investigate a shooting scene at York Road and Woodbourne Avenue where a woman was killed. Kenneth K. Lam/staff The only remnant Thursday of a crime was some torn police tape that was still wrapped around a utility pole on the corner of York Road and Woodbourne Avenue in Baltimore. A woman was killed and two others, including a child, were injured in a shooting Wednesday. Todd Karpovich/Staff A woman was killed and two others, including a child, were injured in a shooting on York Road on Wednesday. When Baltimore Police responded at about 5:33 p.m. to the scene, they found the three victims had been shot while inside a car at the intersection of York Road and Woodbourne Avenue in North Baltimore where the Homeland, Mid-Govans and Woodbourne-McCabe neighborhoods meet, according to a statement from the department.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"36","County homicides drop slightly in 2024 Other crime data show mixed results over year","January 6, 2025 Monday","Maryland","The Baltimore Sun","News","1197","MAIN;A;Pg. 1","1197",NA,"Todd Karpovich",NA,NA,NA,"County homicides drop slightly in 2024 Other crime data show mixed results over year","County homicides drop slightly in 2024 Other crime data show mixed results over year Baltimore County Police Chief Robert McCullough speaks at a gathering of state and local officials, domestic violence advocates and others before a community walk through the Ross Ridge community on Thursday. On Christmas Eve a father allegedly shot and killed his 4-year-old son and injured the child's mother and his 1-year-old daughter. Kim Hairston/Staff Baltimore County police, state and local officials, domestic violence advocates and others go on a community walk through the Ross Ridge community. Kim Hairston/Staff Baltimore County's overall crime rate remained nearly unchanged last year, compared to 2023, even as the community saw its lowest homicide rate in a decade, along with sharp drops in forcible rapes and building thefts over the last 12 months, according to year-end government figures. The number of homicides edged down slightly: The county recorded 28 such deaths in 2024, compared with 29 the prior year. Meanwhile, the number of shoplifting and arson cases increased. Baltimore County Second District Councilman Israel ""Izzy"" Patoka sees the year-end figures as a positive. He lauded Baltimore County Police Chief Robert O. McCullough and pointed to the strong relationship between the communities and police in helping drive down crime. ""I absolutely see strides being made in terms of crime, [which] seems to be trending in the right direction,"" Patoka said. ""I do think it's really important we realize that this is a snapshot in time and that we have to remain vigilant","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"37","Four Baltimore criminal organizations dismantled in massive crime bust","November 29, 2024 Friday","International","Governance, Risk & Compliance Monitor Worldwide","News","611",NA,"611","Middle East",NA,NA,NA,NA,"Four Baltimore criminal organizations dismantled in massive crime bust","Four Baltimore criminal organizations dismantled in massive crime bust Maryland law enforcement officials said this week they have dismantled four violent criminal organizations that have been dealing weapons and drugs in Baltimore. Almost 40 people have been criminally charged so far while dozens of illegal guns, 15 stolen vehicles, and a large cache of narcotics and money were recovered in a collaborative effort among more than a dozen local, state and federal law enforcement agencies that officials called Operation Tornado Alley.","Governance, Risk & Compliance Monitor Worldwide","Web Publication",NA,NA,NA,NA
"38","Juvenile crime fuels complaints in East Baltimore Business owners, residents say police aren't addressing it","November 28, 2024 Thursday","Maryland","The Baltimore Sun","News","1249","MAIN;A;Pg. 1","1249",NA,"Glynis Kazanjian",NA,NA,NA,"Juvenile crime fuels complaints in East Baltimore Business owners, residents say police aren't addressing it","Juvenile crime fuels complaints in East Baltimore Business owners, residents say police aren't addressing it Oliver Alakfash, owner of Tobacco House in Canton, shows a tool that he says two teenagers dropped during a robbery attempt at his shop Sunday. Amy Davis/Staff Melissa Willen, who has lived in the Patterson Park neighborhood for three years, sits on her stoop near the box she purchased for Amazon and other deliveries because of frequent thefts of packages in the area. Barbara Haddock Taylor/Staff Two teens wearing ski masks and claiming to be armed fought with employees at Oliver Alakfash's tobacco store in the Canton neighborhood on Sunday before they were finally chased out. Alakfash didn't bother calling the police afterward. ""What's the point?"" he said. ""We call, reports are made and nothing happens. I keep calling the cops. Nothing gets done ...  zero."" Red wire cutters fell out of one teen's jacket. The other claimed to have a gun and threatened to use it if employees didn't turn over a large container of hemp- derived delta-8 flower the store was selling. For Alakfash, it was yet another smash-and-grab robbery attempt involving young criminals. Barely a day later, three teens broke into the store and made off with the delta-8 worth $1,200.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"39","Maryland Man Convicted of Sexual Assault on Baltimore Cruise Ship","December 19, 2024 Thursday","International","Legal Monitor Worldwide","News","504",NA,"504","Jordan, Hashemite Kingdom of",NA,NA,NA,NA,"Maryland Man Convicted of Sexual Assault on Baltimore Cruise Ship","Maryland Man Convicted of Sexual Assault on Baltimore Cruise Ship Baltimore, Maryland After a two-week trial, a federal jury found Jalen Thomas Kelley, 22, Abingdon , Maryland ,guilty of aggravated sexual abuse, sexual abuse, and assault within the territorial jurisdiction. Erek L. Barron , U.S. Attorney for the District of Maryland announced the verdict with Special Agent in Charge William J. DelBagno, Federal Bureau of Investigation (FBI), Baltimore Field Office.Sexual violence is a horrific violation of personal autonomy and will not be tolerated. We will hold perpetrators accountable, said U.S. Attorney Barron. This verdict should send a message to survivors that they are heard, validated and supported.According to the evidence presented at trial, between January 1, and January 2, 2023, the defendant forcibly raped and assaulted the victim, who was a minor at the time, aboard the Carnival Legend.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"40","Every season of 'the best crime drama of all time' is finally available to stream in just weeks as fans rave 'I'm completely blown away'","January 31, 2025 Friday","International","MailOnline","News","709","TV;Version:1","709","United Kingdom of Great Britain and Northern Ireland","Alesia Fiddler",NA,NA,NA,"Every season of 'the best crime drama of all time' is finally available to stream in just weeks as fans rave 'I'm completely blown away'","Every season of 'the best crime drama of all time' is finally available to stream in just weeks as fans rave 'I'm completely blown away' All seven seasons of a popular old-school police drama will be available to stream in just weeks. The award-winning show, Homicide: Life On The Street, first aired in 1993 and became one of the most celebrated crime series in history - winning the Peabody Award three times and four Emmy Awards. Now, after a deal with Fremantle, the classic series has been revamped in HD and UHD and will be broadcast by Sky and NOW in the UK and Ireland from February 14.","MailOnline","Web Publication",NA,NA,NA,NA
"41","Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","November 26, 2024 Tuesday","International","Legal Monitor Worldwide","News","1650",NA,"1650","Jordan, Hashemite Kingdom of",NA,NA,NA,NA,"Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore Baltimore, Maryland Today, the U.S. Attorneys Office for the District of Maryland joined the Office of the States Attorney for Baltimore City (SAO) and its Major Investigations Unit the Mayors Office, Baltimore Police Department (BPD), U.S. Drug Enforcement Administration (DEA), and Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) to share details about the largest takedown in Baltimore in decades. This investigation uncovered four separately operated criminal organizations whose primary enterprise was trafficking narcotics. Ivan Roman and Andre Berry are facing federal charges for firearm-related offenses andpossession with the intent to distribute narcotics.TheSAO announced charges against 40 individuals for drug trafficking and firearm offenses that occurred throughout southwest Baltimore City. This takedown is part of the Citys Group Violence Reduction Strategy (GVRS).Ongoing violence in these areas was the catalyst for the investigation. While examining violent feuds in these regions, law enforcement uncovered the existence of at least four separate criminal organizations that engaged in the daily street-level distribution of narcotics.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"42","ATTORNEY GENERAL BROWN ANNOUNCES GUILTY PLEA OF BALTIMORE WOMAN FOR OPERATING SEX TRAFFICKING RING ACROSS MARYLAND","November 22, 2024 Friday","U.S. Federal","States News Service","News","652",NA,"652",NA,"States News Service",NA,NA,NA,"ATTORNEY GENERAL BROWN ANNOUNCES GUILTY PLEA OF BALTIMORE WOMAN FOR OPERATING SEX TRAFFICKING RING ACROSS MARYLAND","ATTORNEY GENERAL BROWN ANNOUNCES GUILTY PLEA OF BALTIMORE WOMAN FOR OPERATING SEX TRAFFICKING RING ACROSS MARYLAND The following information was released by the Maryland Attorney General: Human Trafficking Indictment in Washington County Stemmed from Two-Year, Multi-Agency Investigation Led by AG's Organized Crime Unit BALTIMORE, MD Attorney General Anthony G. Brown today announced the guilty plea of Kenika Danielle Leach, 33, of Baltimore, Maryland , before the Honorable Brett R. Wilson of the Circuit Court for Washington County. Ms. Leach pleaded guilty to conspiracy to commit sex trafficking, distribution of a controlled dangerous substancecocaine, and receiving the earnings of a prostitute. The investigation identified at least 11 women from Hagerstown, Maryland who had been trafficked, by Ms. Leach and her co-conspirators, to hotels and motels throughout Maryland for the purposes of performing commercial sex acts. The charges stemmed from a two-year, multi-agency investigation led by the Attorney General's Organized Crime Unit. In December 2021, the investigation began when the local hospital personnel notified the Baltimore Police Department that a patient had disclosed being sex trafficked by Ms. Leach. More specifically, the victim-survivors told police that Ms. Leach had taken her from Hagerstown to the Baltimore area to commit commercial sex acts, for which Ms. Leach received money and drugs. Soon thereafter, detectives contacted the Attorney General's Organized Crime Unit.","States News Service","Newswire",NA,NA,NA,NA
"43","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP","December 13, 2024 Friday","U.S. Federal","States News Service","News","484",NA,"484",NA,"States News Service",NA,"US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP The following information was released by the United States Attorney's Office for the District of Maryland: After a two-week trial, a federal jury found Jalen Thomas Kelley, 22, Abingdon , Maryland ,guilty of aggravated sexual abuse, sexual abuse, and assault within the territorial jurisdiction.","States News Service","Newswire",NA,NA,NA,NA
"44","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE","November 25, 2024 Monday","U.S. Federal","States News Service","News","1824",NA,"1824",NA,"States News Service",NA,"US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE The following information was released by the United States Attorney's Office for the District of Maryland : Operation Tornado Alley, a GVRS Investigation Leads to Largest Takedown in Baltimore in Decades Baltimore, Maryland Today, the U.S. Attorney's Office for the District of Maryland joined the Office of the State's Attorney for Baltimore City (SAO) and its Major Investigations Unit the Mayor's Office, Baltimore Police Department (BPD), U.S. Drug Enforcement Administration (DEA), and Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) to share details about the largest takedown in Baltimore in decades. This investigation uncovered four separately operated criminal organizations whose primary enterprise was trafficking narcotics. Ivan Roman and Andre Berry are facing federal charges for firearm-related offenses andpossession with the intent to distribute narcotics.TheSAO announced charges against 40 individuals for drug trafficking and firearm offenses that occurred throughout southwest Baltimore City. This takedown is part of the City's Group Violence Reduction Strategy (GVRS).Ongoing violence in these areas was the catalyst for the investigation. While examining violent feuds in these regions, law enforcement uncovered the existence of at least four separate criminal organizations that engaged in the daily street-level distribution of narcotics.","States News Service","Newswire",NA,NA,NA,NA
"45","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE","November 25, 2024 Monday","U.S. Federal","US Fed News","News","1875",NA,"1875",NA,NA,NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE","MULTI-JURISDICTIONAL LAW ENFORCEMENT COLLABORATIVE DISMANTLES FOUR CRIMINAL ORGANIZATIONS OPERATING THROUGHOUT SOUTHWESTERN BALTIMORE WASHINGTON, Nov. 25 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release: Baltimore, Maryland -Today, the U.S. Attorney's Office for the District of Maryland joined the Office of the State's Attorney for Baltimore City (SAO) - and its Major Investigations Unit - the Mayor's Office, Baltimore Police Department (BPD), U.S. Drug Enforcement Administration (DEA), and Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) to share details about the largest takedown in Baltimore in decades. This investigation uncovered four separately operated criminal organizations whose primary enterprise was trafficking narcotics. Ivan Roman and Andre Berry are facing federal charges for firearm-related offenses andpossession with the intent to distribute narcotics.TheSAO announced charges against 40 individuals for drug trafficking and firearm offenses that occurred throughout southwest Baltimore City. This takedown is part of the City's Group Violence Reduction Strategy (GVRS).Ongoing violence in these areas was the catalyst for the investigation. While examining violent feuds in these regions, law enforcement uncovered the existence of at least four separate criminal organizations that engaged in the daily street-level distribution of narcotics.","US Fed News","Newswire",NA,NA,NA,NA
"46","Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","November 25, 2024 Monday","International","Impact News Service","News","1809",NA,"1809","Europe",NA,NA,NA,NA,"Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","Impact News Service","Newswire",NA,NA,NA,NA
"47","How George Soros used Baltimore as 'testing ground' for liberal policies","January 20, 2025 Monday","Maryland","The Baltimore Sun","News","1435","MAIN;A;Pg. 6","1435",NA,"Patrick Hauf Spotlight On Maryland",NA,"OPEN SOCIETY INSTITUTE","OPEN SOCIETY INSTITUTE","How George Soros used Baltimore as 'testing ground' for liberal policies","How George Soros used Baltimore as 'testing ground' for liberal policies Hungarian American investor George Soros attends a press conference prior to the launch event for the European Roma Institute for Arts and Culture at the Foreign Ministry in Berlin. Ferdinand Ostrop/AP file President Joe Biden awarded the Presidential Medal of Freedom this month to George Soros, a billionaire philanthropist who spent tens of millions of dollars in Baltimore to establish a ""testing ground"" for liberal policies. Baltimore hosted Soros' only local field office for his Open Society philanthropic empire from 1998 to 2023. The office, commonly called the Open Society Institute (OSI), bankrolled Baltimore nonprofits for decades. The organization was tied directly to Baltimore City Mayor Brandon Scott and Baltimore City Council President Zeke Cohen. Aryeh Neier, the president emeritus of Open Society Foundations, emphasized in 2023 how OSI enacted revolutionary ideas on criminal justice reform, drug harm reduction and education policy in Baltimore. ""A defining feature of George Soros's philanthropy since he launched his first national foundation in Hungary in 1984 is that, to a greater extent than any other foundation, its activities were guided by local knowledge,"" Neier wrote on the Open Society Foundations website. ""That philosophy helped drive the decision to open an office in Baltimore in 1998, as a testing ground to address critical urban issues.""","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"48","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP","December 13, 2024 Friday","U.S. Federal","US Fed News","News","552",NA,"552",NA,NA,NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP","MARYLAND MAN CONVICTED OF SEXUAL ASSAULT ON BALTIMORE CRUISE SHIP WASHINGTON, Dec. 13 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release:","US Fed News","Newswire",NA,NA,NA,NA
"49","Scott getting ready for a rare second term Mayor wants to get back what Baltimore is losing","December 1, 2024 Sunday","Maryland","The Baltimore Sun","News","1960","MAIN;A;Pg. 1","1960",NA,"Hannah Gaskill",NA,NA,NA,"Scott getting ready for a rare second term Mayor wants to get back what Baltimore is losing","Scott getting ready for a rare second term Mayor wants to get back what Baltimore is losing Baltimore Mayor Brandon Scott speaks during the third annual Baltimore Together Summit workshops at Baltimore Center Stage on Nov. 12. Karl Merton Ferron/Staff Baltimore Mayor Brandon Scott is preparing for his second term - a rare accomplishment for recent chief executives in his city - and focusing on what Baltimore is losing: middle-class Black residents and tax revenue. It's a loss the 40-year-old Democrat says Baltimore can't afford. That's why Scott is prioritizing the city's growth through housing and crime reduction in his upcoming second term. He's also determined to have Baltimore keep a portion of the local sales tax and lower property taxes - a goal he knows will be fulfilled only after a tough fight. ""We have to grow the city, [by] tackling vacant housing, making sure that we're increasing home ownership, making sure that, in particular ... we're going directly after middle-class Black residents and stopping them from leaving because that's the folks that we're losing in this city,"" Scott said during a town hall at the Baltimore Together Summit in mid-November. According to the Baltimore City Department of Housing and Community Development Key Stats Dashboard, there were 13,031 vacant building notices listed in the city as of 1:30 p.m. Wednesday - down 522 from the beginning of the year. The Key Stats Dashboard is updated three times daily.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"50","Police: 3 dead and 3 injured in separate Baltimore shootings Sunday","January 21, 2025 Tuesday","Maryland","The Baltimore Sun","News","325","MAIN;A;Pg. 3","325",NA,"Matt Hubbard",NA,"POLICE FOUNDATION","POLICE FOUNDATION","Police: 3 dead and 3 injured in separate Baltimore shootings Sunday","Police: 3 dead and 3 injured in separate Baltimore shootings Sunday Multiple shootings in Baltimore on Sunday left three dead and three injured, according to police. A triple shooting in Northwest Baltimore Sunday afternoon left one man dead, police said. Officers were called to the 3900 block of Liberty Heights Avenue around 3:22 p.m. for a report of a shooting, Baltimore Police said in a news release.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"51","Man gets 50 years in prison for '23 fatal shooting in Canton","February 1, 2025 Saturday","Maryland","The Baltimore Sun","News","905","MAIN;A;Pg. 5","905",NA,"Alex Mann",NA,"T-MOBILE INTERNATIONAL AG","T-MOBILE INTERNATIONAL AG","Man gets 50 years in prison for '23 fatal shooting in Canton","Man gets 50 years in prison for '23 fatal shooting in Canton Christian Ortega, 13, a family friend of Fabian Alberto Sanchez-Gonzalez, waits with other friends and relatives of Gonzalez, pictured in a large framed photo on May 7, 2023, for a march to the Canton T-Mobile store where Gonzalez was killed. courtesy An employee of a T-Mobile store in Canton was fatally shot in 2023. dan belson/staff A 19-year-old from Baltimore was sentenced Friday to 50 years in prison for fatally shooting Fabian Alberto Sanchez Gonzalez in 2023 at a T-Mobile store in Canton at the end of what prosecutors described as a ""crime spree."" Baltimore Circuit Judge Robert K. Taylor Jr. handed down a life sentence to Arthur McCaden, suspending all but 50 years of incarceration.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"52","Del. Dalya Attar appointed to fill Baltimore's state Senate vacancy","January 23, 2025 Thursday","Maryland","The Baltimore Sun","News","499","MAIN;A;Pg. 4","499",NA,"Todd Karpovich",NA,"META PLATFORMS INC","META PLATFORMS INC","Del. Dalya Attar appointed to fill Baltimore's state Senate vacancy","Del. Dalya Attar appointed to fill Baltimore's state Senate vacancy Del. Dalya Attar, far right, has been appointed by her fellow Democrats to fill Baltimore City's vacant Maryland Senate seat for District 41, which was vacated after Gov. Wes Moore appointed Sen. Jill Carter to the Maryland State Board of Contract Appeals. Karl Merton Ferron/Staff Del. Dalya Attar was appointed by her fellow Democrats to fill Baltimore City's vacant seat for District 41 in the Maryland Senate. Attar is expected to take the place of Sen. Jill Carter, who was appointed by Gov. Wes Moore to serve on the Maryland State Board of Contract Appeals.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"53","November tops year for Baltimore juvenile arrests None related to new law aimed at youthful offenders","December 9, 2024 Monday","Maryland","The Baltimore Sun","News","964","MAIN;A;Pg. 1","964",NA,"Glynis Kazanjian",NA,NA,NA,"November tops year for Baltimore juvenile arrests None related to new law aimed at youthful offenders","November tops year for Baltimore juvenile arrests None related to new law aimed at youthful offenders A month after a new state law gave police more power to arrest young juveniles for crimes for which they previously couldn't be prosecuted, arrests of youthful offenders in Baltimore have reached a monthly high for 2024. But none of that had to do with the new law, police said. According to Baltimore City Police Department figures, 70 juveniles were arrested in November. For the year, the average number of juvenile arrests was 52 per month.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"54","As juvenile crime subsides, legislative debate continues over more reforms","December 16, 2024 Monday","Maryland","The Daily Record (Baltimore, MD)","News","1326","NEWS","1326",NA,"Ian Round",NA,"SENTENCING PROJECT","SENTENCING PROJECT","As juvenile crime subsides, legislative debate continues over more reforms","As juvenile crime subsides, legislative debate continues over more reforms Juvenile crime is not on the rise in Baltimore overall, but a perceived crisis in the city contributed to a state law that passed this year, rolling back some of the provisions of a more progressive law passed just two years before. In passing the law, which took effect Nov. 1, Maryland joined a growing list of states to pass tougher juvenile crime laws in recent years. Several states have passed or are considering bills that require children to be charged as adults for serious offenses.","Daily Record, The (Baltimore, MD)","Newspaper",NA,NA,NA,NA
"55","Md. U.S. Attorney: Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","November 26, 2024 Tuesday","U.S. Federal","Targeted News Service","News","1907",NA,"1907",NA,"Targeted News Service",NA,"BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES","BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES","Md. U.S. Attorney: Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore","Md. U.S. Attorney: Multi-Jurisdictional Law Enforcement Collaborative Dismantles Four Criminal Organizations Operating Throughout Southwestern Baltimore The office of the U.S. Attorney for the District of Maryland issued the following news release on Nov. 25, 2024: * * * Operation Tornado Alley, a GVRS Investigation Leads to Largest Takedown in Baltimore in Decades * * * Today, the U.S. Attorney's Office for the District of Maryland joined the Office of the State's Attorney for Baltimore City (SAO) -- and its Major Investigations Unit -- the Mayor's Office, Baltimore Police Department (BPD), U.S. Drug Enforcement Administration (DEA), and Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) to share details about the largest takedown in Baltimore in decades. This investigation uncovered four separately operated criminal organizations whose primary enterprise was trafficking narcotics. Ivan Roman and Andre Berry are facing federal charges for firearm-related offenses and possession with the intent to distribute narcotics. The SAO announced charges against 40 individuals for drug trafficking and firearm offenses that occurred throughout southwest Baltimore City. This takedown is part of the City's Group Violence Reduction Strategy (GVRS). Ongoing violence in these areas was the catalyst for the investigation. While examining violent feuds in these regions, law enforcement uncovered the existence of at least four separate criminal organizations that engaged in the daily street-level distribution of narcotics.","Targeted News Service","Newswire",NA,NA,NA,NA
"56","Homicides in Baltimore come down But businesses worry they'll never escape city's unsafe reputation","December 1, 2024 Sunday","Maryland","The Baltimore Sun","News","1123","MAIN;A;Pg. 1","1123",NA,"Lorraine Mirabella",NA,NA,NA,"Homicides in Baltimore come down But businesses worry they'll never escape city's unsafe reputation","Homicides in Baltimore come down But businesses worry they'll never escape city's unsafe reputation Beth Hawks, owner of Zelda Zen in Fells Point, says some people are still concerned about crime in Baltimore. Kim Hairston/Staff Giovanna Blattermann is owner of Cafe Gia, an Italian restaurant in Little Italy . Kim Hairston/Staff Baltimore is poised to end the year with the fewest homicides in more than a decade, and nonfatal shootings have plunged from a year ago. But views of the city as unsafe persist. That's long been a challenge for city businesses that rely on visitors and customers from around the region and beyond. Even with the homicide rate down 23% and on pace for a 12-year-low, some say long-entrenched narratives won't change overnight. It will take more than a couple years of downward numbers for Baltimore to overcome a  ""murder capital"" characterization that's been built up over decades, some business owners said. ""Downward numbers are great,"" said Benn Ray, president of the Hampden Village Merchants Association. ""But when [people] hear of a murder, it reinforces the stereotype that people who live outside the city and are afraid to come into the city are going to use to confirm their perceptions.""","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"57","Baltimore mayor talks 2025 public safety strategies","January 9, 2025 Thursday","Maryland","The Baltimore Sun","News","490","MAIN;A;Pg. 5","490",NA,"Alexa Ashwell FOX45 News",NA,NA,NA,"Baltimore mayor talks 2025 public safety strategies","Baltimore mayor talks 2025 public safety strategies Mayor Brandon Scott was joined by state and local leaders inside City Hall on Tuesday to discuss public safety in 2024 and strategies for the new year. The mayor touted work last year, including a historic reduction in homicides, as well as declines in non-fatal shootings, carjacking and auto thefts, the high number of guns seized, and the improved homicide clearance rate.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"58","Ring camera captures carjacking in Baltimore","January 9, 2025 Thursday","Maryland","The Baltimore Sun","News","365","MAIN;A;Pg. 5","365",NA,"Keith Daniels FOX45 News",NA,NA,NA,"Ring camera captures carjacking in Baltimore","Ring camera captures carjacking in Baltimore A Baltimore man spoke out after an armed carjacking involving two juveniles - one of them with a gun. The crime was caught on camera. ""Having a gun pulled on you by two kids is what the world is coming to,"" victim Kenny Devera said Tuesday while standing outside his home on West Pratt Street, near South Stricker Street. ""And they're probably just going to get a smack on the wrist and be sent home.""","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"59","Baltimore police reach consent decree compliance in more sections","January 25, 2025 Saturday","Maryland","The Baltimore Sun","News","445","MAIN;A;Pg. 4","445",NA,"Alexa Ashwell FOX45 News",NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","Baltimore police reach consent decree compliance in more sections","Baltimore police reach consent decree compliance in more sections During the first federal consent decree hearing of 2025, Judge James Bredar approved a joint motion for compliance within three sections of the consent decree. Baltimore City, which is entering its eighth year under federal monitoring, has reached full and effective compliance within five sections of the federal consent decree.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"60","Scott says Baltimore 'not a sanctuary city,' but won't ask about immigration status","January 23, 2025 Thursday","Maryland","The Baltimore Sun","News","437","MAIN;A;Pg. 3","437",NA,"Carson Swick",NA,NA,NA,"Scott says Baltimore 'not a sanctuary city,' but won't ask about immigration status","Scott says Baltimore 'not a sanctuary city,' but won't ask about immigration status With President Donald Trump's long-promised deportations underway, Baltimore Mayor Brandon Scott is making it clear Baltimore is ""not a sanctuary city."" ""We have to be reminded that Baltimore is not a sanctuary city. It's a very important distinction,"" Scott said, noting he does not use the term because it is politically charged and leads to too much focus on what happens to people in detention facilities - which the city does not operate.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
